name,index,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30,x31,x32,x33,x34,x35,x36,x37,x38,x39,x40,x41,x42,x43,x44,x45,x46,x47,x48,x49,x50,x51,x52,x53,x54,x55,x56,x57,x58,x59,x60,x61,x62,target,batch
Molecule_156,156,0.324948134,0.495812403,-0.035264858,-0.024733726,-0.029999228,0.674996783,0.805,0.797718541,1.403454455,0.003426602,0.003265501,-0.568902976,-0.69925222,-0.9653254,-0.026999871,-0.018203367,-0.022468997,1.732735914,4.965996783,1.511531775,24.55222063,6.682545007,0.094017531,0.002,0.09147067,0.204743795,0.529912557,1.002743243,-0.182999614,-0.10520208,-0.144468096,0.347469383,0.587794702,5.534735142,3.846158136,57.30319438,19.05253242,1.562840184,0.001,0.005734499,1.55607305,-108.2349569,0.452788925,-109.6523629,8.18577879,-7.040769866,-6.587930452,-7.371063848,57795.01248,1380416.378,374.3249287,2.612747254,16.75236859,16.75236859,1.216725482,-12.57388877,0.576690046,71.77777778,537.607,495.271,537.261542,195,5.0,0.0
Molecule_160,160,0.326207557,0.498180076,-0.031885287,-0.025770573,-0.02882793,0.673910224,0.805,0.787239398,1.393698252,0.003217207,0.003057357,-0.582452017,-0.701822119,-0.975991895,-0.027057357,-0.02617207,-0.02617207,1.73734414,4.964024937,1.507286783,24.87448628,6.726024937,0.096157856,0.002,0.093975063,0.196045845,0.528105611,0.978495885,-0.179713217,-0.123541147,-0.151598503,0.346,0.580942643,5.545114713,3.716443888,57.36030175,19.06268828,1.638179801,0.001,0.007114713,1.63037656,-153.8042964,0.50730723,-155.7441523,9.993339251,-7.168367084,-6.661074067,-7.432036909,107916.5768,2516540.622,504.8131208,2.660526437,17.67351028,17.67351028,1.481550076,-13.20347999,0.267856868,62.32,737.845,679.381,737.3776344,275,6.0,0.0
Molecule_385,385,0.321566517,0.49204264,-0.031929894,-0.025081602,-0.028081602,0.678113815,0.805,0.804662036,1.408616056,0.003389427,0.003,-0.568727236,-0.705997178,-0.97095207,-0.023978145,-0.017387288,-0.021129853,1.732094231,4.97408969,1.511708081,24.54829115,6.682183648,0.092664317,0.002,0.090097639,0.190367357,0.528454385,0.983127518,-0.171258573,-0.124753997,-0.148442494,0.34328156,0.585263317,5.542219543,3.763501765,57.39858407,19.0683345,1.597215802,0.00104598,0.005024125,1.591057873,-134.3590593,0.497155288,-136.0383186,8.53422578,-6.978042198,-6.480953575,-7.245841591,84718.44539,1991193.178,448.0785178,2.589295911,17.02127004,17.02127004,1.682415557,-13.56726406,0.476315766,72.0,651.751,599.335,651.3296215,241,7.0,0.0
Molecule_555,555,0.314730108,0.485060117,-0.031999942,-0.035,-0.033999961,0.684999904,0.805,0.818999614,1.421999653,0.002699986,0.002999981,-0.600902167,-0.716880005,-0.982789826,-0.034000096,-0.043000193,-0.038000154,1.735000154,4.981999846,1.497999788,25.32600147,6.786000174,0.110800264,0.001999981,0.10900027,0.20771184,0.528380052,0.988120423,-0.126999672,-0.163999961,-0.145999807,0.353000019,0.568999865,5.550000058,2.898002392,57.28400085,19.05000014,1.637299352,0.003999981,0.006,1.626999363,-145.5191462,0.473775858,-147.4466764,10.39893889,-7.262694811,-6.788896134,-7.48009566,114732.1463,2891253.107,530.998711,2.701299375,17.22324162,17.22324162,1.836759485,-13.89195758,0.322071986,65.20833333,739.025,677.537,738.3620593,265,9.0,0.0
Molecule_610,610,0.32081,0.49096,-0.026,-0.033,-0.029,0.679,0.805,0.793,1.399,0.0022,0.002,-0.59684331,-0.71573,-0.97693,-0.038,-0.046,-0.042,1.742,4.974,1.497,25.231,6.773,0.1209,0.002,0.119,0.21059876,0.53198,1.00245,-0.088,-0.16,-0.124,0.354,0.563,5.551,3.032,57.265,19.046,1.6529,0.004,0.006,1.643,-129.6276646,0.41820254,-131.5237265,6.778,-7.0662,-6.648,-7.3148,96626.39336,2545521.266,496.432165,2.807,16.38436366,16.38436366,1.24603269,-13.00214052,0.341601114,61.6,683.904,635.52,683.2623452,237,10.0,0.0
Molecule_623,623,0.322862267,0.493540249,-0.032,-0.022,-0.027,0.677,0.805,0.798546588,1.403546588,0.003622671,0.004,-0.569082023,-0.701204813,-0.968462326,-0.024773294,-0.013546588,-0.018773294,1.731773294,4.969453412,1.513226706,24.55535435,6.682692587,0.092922671,0.002,0.091,0.20962926,0.527440286,0.999843784,-0.169639764,-0.102906824,-0.136546588,0.344319882,0.589906824,5.538453412,3.837903879,57.27089435,19.04790682,1.62533999,0.001,0.006,1.618481296,-135.8429742,0.420602104,-137.6768339,7.788925183,-6.869927,-6.449287825,-7.237842847,104869.8993,2653012.555,508.7527362,2.797758625,18.14721813,18.14721813,1.94349293,-14.25822834,0.411297115,68.62222222,696.0,635.52,695.3562456,249,12.0,0.0
Molecule_710,710,0.32465,0.49553,-0.023,-0.024,-0.023,0.675,0.805,0.764,1.373,0.0028,0.003,-0.59075865,-0.71033,-0.97591,-0.033,-0.036,-0.034,1.743,4.968,1.501,25.08,6.753,0.1286,0.002,0.127,0.24923436,0.53426,1.01167,-0.079,-0.109,-0.094,0.353,0.567,5.545,3.261,57.011,19.004,1.8557,0.004,0.007,1.845,-194.0849459,0.03332526,-196.7603843,11.376,-7.4497,-7.4164,-7.8448,205698.503,5067582.235,706.395808,3.4767,19.42359322,19.42359322,2.012412209,-15.83526925,0.137458023,60.30769231,967.36,885.712,966.5134745,355,13.0,0.0
Molecule_755,755,0.306508401,0.475200572,-0.02300206,-0.034991392,-0.028996726,0.692991919,0.805,0.870947476,1.465954551,0.002601294,0.003001214,-0.60807535,-0.73116263,-0.982418198,-0.021001054,-0.047974542,-0.034987111,1.731995512,4.998987478,1.475029098,25.53620615,6.811895488,0.116188899,0.001001214,0.114988212,0.171140128,0.512328086,0.978339261,-0.097025251,-0.161970742,-0.12899842,0.346992079,0.594001054,5.546998626,3.213360878,57.52589174,19.08998198,1.7565151,0.002999153,0.00899778,1.744018637,-215.3190436,0.447309355,-218.3669644,5.241342824,-7.249688898,-6.802328221,-7.502741164,256781.9067,6315842.646,789.9618114,3.071383135,19.97501976,19.97501976,1.581560017,-16.10995963,0.130193246,59.97260274,1071.512,981.8,1070.576075,395,15.0,0.0
Molecule_770,770,0.304145034,0.473476164,-0.02714723,-0.034605176,-0.030878362,0.695442586,0.805,0.900738558,1.491195108,0.002441105,0.002055956,-0.624000172,-0.734564565,-0.987189818,-0.018208003,-0.049935487,-0.034543586,1.734893359,5.000006583,1.462522741,25.94745234,6.865565942,0.106465225,0.0010305,0.104636311,0.167673007,0.510039924,0.969515727,-0.134965829,-0.15905765,-0.146524535,0.346034456,0.600647868,5.543723674,3.212395464,57.54830825,19.09405098,1.695023438,0.002939,0.007940088,1.683947669,-169.6346643,0.398505459,-171.9617134,6.985621143,-7.256350734,-6.857928774,-7.543669831,165482.4685,4048547.248,631.1561641,2.85703114,18.71156359,18.71156359,2.583796099,-15.5399602,0.244415914,74.57142857,848.281,767.641,847.5127463,313,16.0,0.0
Molecule_857,857,0.311249282,0.480375915,-0.027636217,-0.032409983,-0.029891205,0.688573463,0.805,0.844830021,1.443243273,0.00246031,0.002368144,-0.605749352,-0.726262815,-0.984221185,-0.027246303,-0.039151965,-0.033196973,1.737173972,4.989337175,1.485616346,25.46607297,6.803485701,0.11225813,0.001368125,0.110475378,0.190312582,0.521735245,0.962015304,-0.121084497,-0.165019976,-0.143368184,0.340175455,0.588750427,5.549369574,3.20894632,57.39847807,19.06859563,1.764396135,0.002627514,0.010082564,1.751735623,-183.8344877,0.454918224,-186.3253419,6.706800287,-7.023583963,-6.568671029,-7.213720145,192175.7122,4627665.318,678.6658822,2.936481529,18.42926397,18.42926397,2.17330205,-16.01323117,0.193866416,64.33333333,908.381,819.677,907.5814945,339,17.0,0.0
